name,house,party,constituency,constituency_ons,position,source_link,country,addressable_title
Taiwo Owatemi,Commons,Labour,Coventry North West,E14001181,"Government Whip, Lord Commissioner of HM Treasury",https://members.parliament.uk/member/4779/contact,England,Ms Taiwo Owatemi MP
Sarah Owen,Commons,Labour,Luton North,E14001345,,https://members.parliament.uk/member/4777/contact,England,Ms Sarah Owen MP
Darren Paffey,Commons,Labour,Southampton Itchen,E14001499,,https://members.parliament.uk/member/5270/contact,England,Mr Darren Paffey MP
Matthew Patrick,Commons,Labour,Wirral West,E14001589,,https://members.parliament.uk/member/5162/contact,England,Mr Matthew Patrick MP
Michael Payne,Commons,Labour,Gedling,E14001245,,https://members.parliament.uk/member/5146/contact,England,Mr Michael Payne MP
Stephanie Peacock,Commons,Labour,Barnsley South,E14001075,"Parliamentary Under Secretary of State (Department for Culture, Media and Sport)",https://members.parliament.uk/member/4607/contact,England,Ms Stephanie Peacock MP
Jon Pearce,Commons,Labour,High Peak,E14001287,,https://members.parliament.uk/member/5115/contact,England,Mr Jon Pearce MP
Matthew Pennycook,Commons,Labour,Greenwich and Woolwich,E14001257,"Minister of State (Housing, Communities and Local Government)",https://members.parliament.uk/member/4520/contact,England,Mr Matthew Pennycook MP
Toby Perkins,Commons,Labour,Chesterfield,E14001165,,https://members.parliament.uk/member/3952/contact,England,Mr Toby Perkins MP
Jess Phillips,Commons,Labour,Birmingham Yardley,E14001100,Parliamentary Under-Secretary (Home Office),https://members.parliament.uk/member/4370/contact,England,Ms Jess Phillips MP
Bridget Phillipson,Commons,Labour,Houghton and Sunderland South,E14001295,Minister for Women and Equalities,https://members.parliament.uk/member/4046/contact,England,The Rt Hon Bridget Phillipson MP
David Pinto-Duschinsky,Commons,Labour,Hendon,E14001279,,https://members.parliament.uk/member/5360/contact,England,Mr David Pinto-Duschinsky MP
Lee Pitcher,Commons,Labour,Doncaster East and the Isle of Axholme,E14001199,,https://members.parliament.uk/member/5233/contact,England,Mr Lee Pitcher MP
Joe Powell,Commons,Labour,Kensington and Bayswater,E14001310,,https://members.parliament.uk/member/5229/contact,England,Mr Joe Powell MP
Gregor Poynton,Commons,Labour,Livingston,S14000095,,https://members.parliament.uk/member/5167/contact,Scotland,Mr Gregor Poynton MP
Peter Prinsley,Commons,Labour,Bury St Edmunds and Stowmarket,E14001146,,https://members.parliament.uk/member/5163/contact,England,Mr Peter Prinsley MP
Richard Quigley,Commons,Labour,Isle of Wight West,E14001304,,https://members.parliament.uk/member/5144/contact,England,Mr Richard Quigley MP
Yasmin Qureshi,Commons,Labour,Bolton South and Walkden,E14001111,,https://members.parliament.uk/member/3924/contact,England,Ms Yasmin Qureshi MP
Steve Race,Commons,Labour,Exeter,E14001231,,https://members.parliament.uk/member/5064/contact,England,Mr Steve Race MP
Connor Rand,Commons,Labour,Altrincham and Sale West,E14001065,,https://members.parliament.uk/member/5159/contact,England,Mr Connor Rand MP
Andrew Ranger,Commons,Labour,Wrexham,W07000111,,https://members.parliament.uk/member/5046/contact,Wales,Mr Andrew Ranger MP
Angela Rayner,Commons,Labour,Ashton-under-Lyne,E14001070,"Secretary of State for Housing, Communities and Local Government",https://members.parliament.uk/member/4356/contact,England,The Rt Hon Angela Rayner MP
Mike Reader,Commons,Labour,Northampton South,E14001407,,https://members.parliament.uk/member/5316/contact,England,Mr Mike Reader MP
Ellie Reeves,Commons,Labour,Lewisham West and East Dulwich,E14001333,Minister without Portfolio (Cabinet Office),https://members.parliament.uk/member/4620/contact,England,The Rt Hon Ellie Reeves MP
Rachel Reeves,Commons,Labour,Leeds West and Pudsey,E14001325,Chancellor of the Exchequer,https://members.parliament.uk/member/4031/contact,England,The Rt Hon Rachel Reeves MP
Joani Reid,Commons,Labour,East Kilbride and Strathaven,S14000077,,https://members.parliament.uk/member/5079/contact,Scotland,Ms Joani Reid MP
Emma Reynolds,Commons,Labour,Wycombe,E14001600,Economic Secretary (HM Treasury),https://members.parliament.uk/member/4077/contact,England,Ms Emma Reynolds MP
Martin Rhodes,Commons,Labour,Glasgow North,S14000085,,https://members.parliament.uk/member/5251/contact,Scotland,Mr Martin Rhodes MP
Bell Ribeiro-Addy,Commons,Labour,Clapham and Brixton Hill,E14001175,,https://members.parliament.uk/member/4764/contact,England,Ms Bell Ribeiro-Addy MP
Jake Richards,Commons,Labour,Rother Valley,E14001451,,https://members.parliament.uk/member/5082/contact,England,Mr Jake Richards MP
Jenny Riddell-Carpenter,Commons,Labour,Suffolk Coastal,E14001530,,https://members.parliament.uk/member/5160/contact,England,Ms Jenny Riddell-Carpenter MP
Lucy Rigby,Commons,Labour,Northampton North,E14001406,Solicitor General (Attorney General's Office),https://members.parliament.uk/member/5333/contact,England,Ms Lucy Rigby KC MP
Marie Rimmer,Commons,Labour,St Helens South and Whiston,E14001510,,https://members.parliament.uk/member/4457/contact,England,Ms Marie Rimmer MP
Dave Robertson,Commons,Labour,Lichfield,E14001335,,https://members.parliament.uk/member/5126/contact,England,Mr Dave Robertson MP
Tim Roca,Commons,Labour,Macclesfield,E14001347,,https://members.parliament.uk/member/5287/contact,England,Mr Tim Roca MP
Matt Rodda,Commons,Labour,Reading Central,E14001438,,https://members.parliament.uk/member/4654/contact,England,Mr Matt Rodda MP
Sam Rushworth,Commons,Labour,Bishop Auckland,E14001101,,https://members.parliament.uk/member/5108/contact,England,Mr Sam Rushworth MP
Sarah Russell,Commons,Labour,Congleton,E14001178,,https://members.parliament.uk/member/5324/contact,England,Ms Sarah Russell MP
Tom Rutland,Commons,Labour,East Worthing and Shoreham,E14001218,,https://members.parliament.uk/member/5222/contact,England,Mr Tom Rutland MP
Sarah Sackman,Commons,Labour,Finchley and Golders Green,E14001238,Minister of State (Ministry of Justice),https://members.parliament.uk/member/5204/contact,England,Ms Sarah Sackman MP
Jeevun Sandher,Commons,Labour,Loughborough,E14001342,,https://members.parliament.uk/member/5259/contact,England,Dr Jeevun Sandher MP
Michelle Scrogham,Commons,Labour,Barrow and Furness,E14001076,,https://members.parliament.uk/member/5049/contact,England,Ms Michelle Scrogham MP
Mark Sewards,Commons,Labour,Leeds South West and Morley,E14001324,,https://members.parliament.uk/member/5166/contact,England,Mr Mark Sewards MP
Naz Shah,Commons,Labour,Bradford West,E14001120,,https://members.parliament.uk/member/4409/contact,England,Ms Naz Shah MP
Michael Shanks,Commons,Labour,Rutherglen,S14000104,Parliamentary Under Secretary of State (Department for Energy Security and Net Zero),https://members.parliament.uk/member/4998/contact,Scotland,Mr Michael Shanks MP
Tulip Siddiq,Commons,Labour,Hampstead and Highgate,E14001265,,https://members.parliament.uk/member/4518/contact,England,Ms Tulip Siddiq MP
Josh Simons,Commons,Labour,Makerfield,E14001350,,https://members.parliament.uk/member/5060/contact,England,Mr Josh Simons MP
Andy Slaughter,Commons,Labour,Hammersmith and Chiswick,E14001264,,https://members.parliament.uk/member/1516/contact,England,Mr Andy Slaughter MP
John Slinger,Commons,Labour,Rugby,E14001453,,https://members.parliament.uk/member/5127/contact,England,Mr John Slinger MP
Cat Smith,Commons,Labour,Lancaster and Wyre,E14001318,,https://members.parliament.uk/member/4436/contact,England,Ms Cat Smith MP
David Smith,Commons,Labour,North Northumberland,E14001397,,https://members.parliament.uk/member/5218/contact,England,Mr David Smith MP
Jeff Smith,Commons,Labour,Manchester Withington,E14001354,"Government Whip, Lord Commissioner of HM Treasury",https://members.parliament.uk/member/4456/contact,England,Mr Jeff Smith MP
Nick Smith,Commons,Labour,Blaenau Gwent and Rhymney,W07000084,,https://members.parliament.uk/member/3928/contact,Wales,Mr Nick Smith MP
Sarah Smith,Commons,Labour,Hyndburn,E14001299,,https://members.parliament.uk/member/5117/contact,England,Ms Sarah Smith MP
Karin Smyth,Commons,Labour,Bristol South,E14001135,Minister of State (Department of Health and Social Care),https://members.parliament.uk/member/4444/contact,England,Ms Karin Smyth MP
Euan Stainbank,Commons,Labour,Falkirk,S14000083,,https://members.parliament.uk/member/5110/contact,Scotland,Mr Euan Stainbank MP
Keir Starmer,Commons,Labour,Holborn and St Pancras,E14001290,Prime Minister and First Lord of the Treasury,https://members.parliament.uk/member/4514/contact,England,The Rt Hon Sir Keir Starmer MP
Jo Stevens,Commons,Labour,Cardiff East,W07000089,Secretary of State for Wales,https://members.parliament.uk/member/4425/contact,Wales,The Rt Hon Jo Stevens MP
Kenneth Stevenson,Commons,Labour,Airdrie and Shotts,S14000063,,https://members.parliament.uk/member/5200/contact,Scotland,Mr Kenneth Stevenson MP
Elaine Stewart,Commons,Labour,"Ayr, Carrick and Cumnock",S14000107,,https://members.parliament.uk/member/5206/contact,Scotland,Ms Elaine Stewart MP
Will Stone,Commons,Labour,Swindon North,E14001536,,https://members.parliament.uk/member/5035/contact,England,Mr Will Stone MP
Alistair Strathern,Commons,Labour,Hitchin,E14001289,,https://members.parliament.uk/member/5000/contact,England,Mr Alistair Strathern MP
Wes Streeting,Commons,Labour,Ilford North,E14001300,Secretary of State for Health and Social Care,https://members.parliament.uk/member/4504/contact,England,The Rt Hon Wes Streeting MP
Alan Strickland,Commons,Labour,Newton Aycliffe and Spennymoor,E14001382,,https://members.parliament.uk/member/5080/contact,England,Mr Alan Strickland MP
Graham Stringer,Commons,Labour,Blackley and Middleton South,E14001103,,https://members.parliament.uk/member/449/contact,England,Mr Graham Stringer MP
Lauren Sullivan,Commons,Labour,Gravesham,E14001254,,https://members.parliament.uk/member/5269/contact,England,Dr Lauren Sullivan MP
Peter Swallow,Commons,Labour,Bracknell,E14001117,,https://members.parliament.uk/member/5165/contact,England,Mr Peter Swallow MP
Mark Tami,Commons,Labour,Alyn and Deeside,W07000082,"Treasurer of HM Household (Deputy Chief Whip, House of Commons)",https://members.parliament.uk/member/1383/contact,Wales,The Rt Hon Mark Tami MP
Mike Tapp,Commons,Labour,Dover and Deal,E14001202,,https://members.parliament.uk/member/5266/contact,England,Mr Mike Tapp MP
Alison Taylor,Commons,Labour,Paisley and Renfrewshire North,S14000101,,https://members.parliament.uk/member/5093/contact,Scotland,Ms Alison Taylor MP
David Taylor,Commons,Labour,Hemel Hempstead,E14001278,,https://members.parliament.uk/member/5348/contact,England,Mr David Taylor MP
Rachel Taylor,Commons,Labour,North Warwickshire and Bedworth,E14001400,,https://members.parliament.uk/member/5065/contact,England,Ms Rachel Taylor MP
Fred Thomas,Commons,Labour,Plymouth Moor View,E14001426,,https://members.parliament.uk/member/5174/contact,England,Mr Fred Thomas MP
Nick Thomas-Symonds,Commons,Labour,Torfaen,W07000109,Paymaster General and Minister for the Cabinet Office,https://members.parliament.uk/member/4479/contact,Wales,The Rt Hon Nick Thomas-Symonds MP
Adam Thompson,Commons,Labour,Erewash,E14001228,,https://members.parliament.uk/member/5044/contact,England,Mr Adam Thompson MP
Emily Thornberry,Commons,Labour,Islington South and Finsbury,E14001306,,https://members.parliament.uk/member/1536/contact,England,The Rt Hon Emily Thornberry MP
Marie Tidball,Commons,Labour,Penistone and Stocksbridge,E14001423,,https://members.parliament.uk/member/5098/contact,England,Dr Marie Tidball MP
Stephen Timms,Commons,Labour,East Ham,E14001213,Minister of State (Department for Work and Pensions),https://members.parliament.uk/member/163/contact,England,The Rt Hon Sir Stephen Timms MP
Jessica Toale,Commons,Labour,Bournemouth West,E14001116,,https://members.parliament.uk/member/5202/contact,England,Ms Jessica Toale MP
Dan Tomlinson,Commons,Labour,Chipping Barnet,E14001169,,https://members.parliament.uk/member/5282/contact,England,Mr Dan Tomlinson MP
Jon Trickett,Commons,Labour,Normanton and Hemsworth,E14001383,,https://members.parliament.uk/member/410/contact,England,Mr Jon Trickett MP
Henry Tufnell,Commons,Labour,Mid and South Pembrokeshire,W07000100,,https://members.parliament.uk/member/5121/contact,Wales,Mr Henry Tufnell MP
Matt Turmaine,Commons,Labour,Watford,E14001568,,https://members.parliament.uk/member/5130/contact,England,Mr Matt Turmaine MP
Karl Turner,Commons,Labour,Kingston upon Hull East,E14001313,,https://members.parliament.uk/member/4030/contact,England,Mr Karl Turner MP
Laurence Turner,Commons,Labour,Birmingham Northfield,E14001097,,https://members.parliament.uk/member/5234/contact,England,Mr Laurence Turner MP
Derek Twigg,Commons,Labour,Widnes and Halewood,E14001584,,https://members.parliament.uk/member/429/contact,England,Mr Derek Twigg MP
Liz Twist,Commons,Labour,Blaydon and Consett,E14001106,,https://members.parliament.uk/member/4618/contact,England,Ms Liz Twist MP
Harpreet Uppal,Commons,Labour,Huddersfield,E14001297,,https://members.parliament.uk/member/5289/contact,England,Ms Harpreet Uppal MP
Tony Vaughan,Commons,Labour,Folkestone and Hythe,E14001239,,https://members.parliament.uk/member/5067/contact,England,Mr Tony Vaughan KC MP
Valerie Vaz,Commons,Labour,Walsall and Bloxwich,E14001562,,https://members.parliament.uk/member/4076/contact,England,The Rt Hon Valerie Vaz MP
Christian Wakeford,Commons,Labour,Bury South,E14001145,Assistant Whip,https://members.parliament.uk/member/4871/contact,England,Mr Christian Wakeford MP
Imogen Walker,Commons,Labour,Hamilton and Clyde Valley,S14000092,,https://members.parliament.uk/member/5136/contact,Scotland,Ms Imogen Walker MP
Chris Ward,Commons,Labour,Brighton Kemptown and Peacehaven,E14001129,,https://members.parliament.uk/member/5276/contact,England,Mr Chris Ward MP
Melanie Ward,Commons,Labour,Cowdenbeath and Kirkcaldy,S14000071,,https://members.parliament.uk/member/5240/contact,Scotland,Ms Melanie Ward MP
Chris Webb,Commons,Labour,Blackpool South,E14001105,,https://members.parliament.uk/member/5025/contact,England,Mr Chris Webb MP
Michelle Welsh,Commons,Labour,Sherwood Forest,E14001471,,https://members.parliament.uk/member/5226/contact,England,Ms Michelle Welsh MP
Catherine West,Commons,Labour,Hornsey and Friern Barnet,E14001293,"Parliamentary Under-Secretary (Foreign, Commonwealth and Development Office)",https://members.parliament.uk/member/4523/contact,England,Ms Catherine West MP
Andrew Western,Commons,Labour,Stretford and Urmston,E14001528,Parliamentary Under-Secretary (Department for Work and Pensions),https://members.parliament.uk/member/4979/contact,England,Mr Andrew Western MP
Matt Western,Commons,Labour,Warwick and Leamington,E14001566,,https://members.parliament.uk/member/4617/contact,England,Mr Matt Western MP
Michael Wheeler,Commons,Labour,Worsley and Eccles,E14001598,,https://members.parliament.uk/member/5242/contact,England,Mr Michael Wheeler MP
John Whitby,Commons,Labour,Derbyshire Dales,E14001195,,https://members.parliament.uk/member/5342/contact,England,Mr John Whitby MP
Jo White,Commons,Labour,Bassetlaw,E14001079,,https://members.parliament.uk/member/5105/contact,England,Ms Jo White MP
Katie White,Commons,Labour,Leeds North West,E14001322,,https://members.parliament.uk/member/5260/contact,England,Ms Katie White MP
Nadia Whittome,Commons,Labour,Nottingham East,E14001410,,https://members.parliament.uk/member/4869/contact,England,Ms Nadia Whittome MP
David Williams,Commons,Labour,Stoke-on-Trent North,E14001521,,https://members.parliament.uk/member/5151/contact,England,Mr David Williams MP
Steve Witherden,Commons,Labour,Montgomeryshire and Glyndwr,W07000102,,https://members.parliament.uk/member/5221/contact,Wales,Mr Steve Witherden MP
Sean Woodcock,Commons,Labour,Banbury,E14001072,,https://members.parliament.uk/member/5328/contact,England,Mr Sean Woodcock MP
Rosie Wrighting,Commons,Labour,Kettering,E14001311,,https://members.parliament.uk/member/5331/contact,England,Ms Rosie Wrighting MP
Yuan Yang,Commons,Labour,Earley and Woodley,E14001210,,https://members.parliament.uk/member/5267/contact,England,Ms Yuan Yang MP
Mohammad Yasin,Commons,Labour,Bedford,E14001084,,https://members.parliament.uk/member/4598/contact,England,Mr Mohammad Yasin MP
Steve Yemm,Commons,Labour,Mansfield,E14001355,,https://members.parliament.uk/member/5194/contact,England,Mr Steve Yemm MP
Daniel Zeichner,Commons,Labour,Cambridge,E14001149,"Minister of State (Department for Environment, Food and Rural Affairs)",https://members.parliament.uk/member/4382/contact,England,Mr Daniel Zeichner MP
Jack Abbott,Commons,Labour (Co-op),Ipswich,E14001302,,https://members.parliament.uk/member/5131/contact,England,Mr Jack Abbott MP
Douglas Alexander,Commons,Labour (Co-op),Lothian East,S14000096,Minister of State (Cabinet Office),https://members.parliament.uk/member/632/contact,Scotland,The Rt Hon Douglas Alexander MP
Rachel Blake,Commons,Labour (Co-op),Cities of London and Westminster,E14001172,,https://members.parliament.uk/member/5257/contact,England,Ms Rachel Blake MP
Stella Creasy,Commons,Labour (Co-op),Walthamstow,E14001563,,https://members.parliament.uk/member/4088/contact,England,Ms Stella Creasy MP
Kate Dearden,Commons,Labour (Co-op),Halifax,E14001262,Assistant Whip,https://members.parliament.uk/member/5224/contact,England,Ms Kate Dearden MP
Anneliese Dodds,Commons,Labour (Co-op),Oxford East,E14001419,,https://members.parliament.uk/member/4657/contact,England,The Rt Hon Anneliese Dodds MP
Helena Dollimore,Commons,Labour (Co-op),Hastings and Rye,E14001274,,https://members.parliament.uk/member/5192/contact,England,Ms Helena Dollimore MP
Stephen Doughty,Commons,Labour (Co-op),Cardiff South and Penarth,W07000091,"Minister of State (Foreign, Commonwealth and Development Office)",https://members.parliament.uk/member/4264/contact,Wales,Mr Stephen Doughty MP
Florence Eshalomi,Commons,Labour (Co-op),Vauxhall and Camberwell Green,E14001559,,https://members.parliament.uk/member/4870/contact,England,Ms Florence Eshalomi MP
Chris Evans,Commons,Labour (Co-op),Caerphilly,W07000088,,https://members.parliament.uk/member/4040/contact,Wales,Mr Chris Evans MP
Miatta Fahnbulleh,Commons,Labour (Co-op),Peckham,E14001421,Parliamentary Under Secretary of State (Department for Energy Security and Net Zero),https://members.parliament.uk/member/5099/contact,England,Ms Miatta Fahnbulleh MP
Emma Foody,Commons,Labour (Co-op),Cramlington and Killingworth,E14001183,,https://members.parliament.uk/member/5029/contact,England,Ms Emma Foody MP
Preet Kaur Gill,Commons,Labour (Co-op),Birmingham Edgbaston,E14001092,,https://members.parliament.uk/member/4603/contact,England,Ms Preet Kaur Gill MP
Sarah Hall,Commons,Labour (Co-op),Warrington South,E14001565,,https://members.parliament.uk/member/5154/contact,England,Ms Sarah Hall MP
Mark Hendrick,Commons,Labour (Co-op),Preston,E14001433,,https://members.parliament.uk/member/473/contact,England,Sir Mark Hendrick MP
Meg Hillier,Commons,Labour (Co-op),Hackney South and Shoreditch,E14001260,,https://members.parliament.uk/member/1524/contact,England,Dame Meg Hillier MP
Sally Jameson,Commons,Labour (Co-op),Doncaster Central,E14001198,,https://members.parliament.uk/member/5178/contact,England,Ms Sally Jameson MP
Jayne Kirkham,Commons,Labour (Co-op),Truro and Falmouth,E14001554,,https://members.parliament.uk/member/5279/contact,England,Ms Jayne Kirkham MP
Simon Lightwood,Commons,Labour (Co-op),Wakefield and Rothwell,E14001560,Parliamentary Under-Secretary (Department for Transport),https://members.parliament.uk/member/4943/contact,England,Mr Simon Lightwood MP
Alice Macdonald,Commons,Labour (Co-op),Norwich North,E14001408,,https://members.parliament.uk/member/5133/contact,England,Ms Alice Macdonald MP
Seema Malhotra,Commons,Labour (Co-op),Feltham and Heston,E14001236,Parliamentary Under-Secretary of State (Department for Education) (Equalities),https://members.parliament.uk/member/4253/contact,England,Ms Seema Malhotra MP
Rachael Maskell,Commons,Labour (Co-op),York Central,E14001604,,https://members.parliament.uk/member/4471/contact,England,Ms Rachael Maskell MP
Jim McMahon,Commons,Labour (Co-op),"Oldham West, Chadderton and Royton",E14001416,"Minister of State (Housing, Communities and Local Government)",https://members.parliament.uk/member/4569/contact,England,Mr Jim McMahon MP
Kirsty McNeill,Commons,Labour (Co-op),Midlothian,S14000045,Parliamentary Under-Secretary (Scotland Office),https://members.parliament.uk/member/5114/contact,Scotland,Ms Kirsty McNeill MP
James Murray,Commons,Labour (Co-op),Ealing North,E14001208,Exchequer Secretary (HM Treasury),https://members.parliament.uk/member/4797/contact,England,Mr James Murray MP
Alex Norris,Commons,Labour (Co-op),Nottingham North and Kimberley,E14001411,"Parliamentary Under-Secretary (Housing, Communities and Local Government)",https://members.parliament.uk/member/4641/contact,England,Mr Alex Norris MP
Kate Osamor,Commons,Labour (Co-op),Edmonton and Winchmore Hill,E14001221,,https://members.parliament.uk/member/4515/contact,England,Ms Kate Osamor MP
Andrew Pakes,Commons,Labour (Co-op),Peterborough,E14001425,,https://members.parliament.uk/member/5243/contact,England,Mr Andrew Pakes MP
Jo Platt,Commons,Labour (Co-op),Leigh and Atherton,E14001329,,https://members.parliament.uk/member/4673/contact,England,Ms Jo Platt MP
Luke Pollard,Commons,Labour (Co-op),Plymouth Sutton and Devonport,E14001427,Parliamentary Under-Secretary (Ministry of Defence),https://members.parliament.uk/member/4682/contact,England,Mr Luke Pollard MP
Lucy Powell,Commons,Labour (Co-op),Manchester Central,E14001352,Lord President of the Council and Leader of the House of Commons,https://members.parliament.uk/member/4263/contact,England,The Rt Hon Lucy Powell MP
Steve Reed,Commons,Labour (Co-op),Streatham and Croydon North,E14001527,"Secretary of State for Environment, Food and Rural Affairs",https://members.parliament.uk/member/4268/contact,England,The Rt Hon Steve Reed MP
Jonathan Reynolds,Commons,Labour (Co-op),Stalybridge and Hyde,E14001515,President of the Board of Trade,https://members.parliament.uk/member/4119/contact,England,The Rt Hon Jonathan Reynolds MP
Baggy Shanker,Commons,Labour (Co-op),Derby South,E14001194,,https://members.parliament.uk/member/5176/contact,England,Mr Baggy Shanker MP
Gareth Snell,Commons,Labour (Co-op),Stoke-on-Trent Central,E14001520,,https://members.parliament.uk/member/4595/contact,England,Mr Gareth Snell MP
Alex Sobel,Commons,Labour (Co-op),Leeds Central and Headingley,E14001319,,https://members.parliament.uk/member/4658/contact,England,Mr Alex Sobel MP
Kirsteen Sullivan,Commons,Labour (Co-op),Bathgate and Linlithgow,S14000068,,https://members.parliament.uk/member/5179/contact,Scotland,Ms Kirsteen Sullivan MP
Gareth Thomas,Commons,Labour (Co-op),Harrow West,E14001271,Parliamentary Under Secretary of State (Department for Business and Trade),https://members.parliament.uk/member/177/contact,England,Mr Gareth Thomas MP
Anna Turley,Commons,Labour (Co-op),Redcar,E14001440,"Government Whip, Lord Commissioner of HM Treasury",https://members.parliament.uk/member/4449/contact,England,Ms Anna Turley MP
Chris Vince,Commons,Labour (Co-op),Harlow,E14001267,,https://members.parliament.uk/member/5237/contact,England,Mr Chris Vince MP
Paul Waugh,Commons,Labour (Co-op),Rochdale,E14001446,,https://members.parliament.uk/member/5071/contact,England,Mr Paul Waugh MP
Gideon Amos,Commons,Liberal Democrat,Taunton and Wellington,E14001540,Liberal Democrat Spokesperson (Housing and Planning),https://members.parliament.uk/member/5250/contact,England,Mr Gideon Amos MP
Steff Aquarone,Commons,Liberal Democrat,North Norfolk,E14001396,,https://members.parliament.uk/member/5164/contact,England,Mr Steff Aquarone MP
Josh Babarinde,Commons,Liberal Democrat,Eastbourne,E14001219,Liberal Democrat Spokesperson (Justice),https://members.parliament.uk/member/5086/contact,England,Mr Josh Babarinde MP
Alison Bennett,Commons,Liberal Democrat,Mid Sussex,E14001366,Liberal Democrat Spokesperson (Care and Carers),https://members.parliament.uk/member/5283/contact,England,Ms Alison Bennett MP
Alex Brewer,Commons,Liberal Democrat,North East Hampshire,E14001392,,https://members.parliament.uk/member/5263/contact,England,Ms Alex Brewer MP
Jess Brown-Fuller,Commons,Liberal Democrat,Chichester,E14001166,Liberal Democrat Spokesperson (Hospitals and Primary Care),https://members.parliament.uk/member/5335/contact,England,Ms Jess Brown-Fuller MP
Charlotte Cane,Commons,Liberal Democrat,Ely and East Cambridgeshire,E14001224,,https://members.parliament.uk/member/5182/contact,England,Ms Charlotte Cane MP
Alistair Carmichael,Commons,Liberal Democrat,Orkney and Shetland,S14000051,,https://members.parliament.uk/member/1442/contact,Scotland,The Rt Hon Alistair Carmichael MP
David Chadwick,Commons,Liberal Democrat,"Brecon, Radnor and Cwm Tawe",W07000085,Liberal Democrat Spokesperson (Wales),https://members.parliament.uk/member/5284/contact,Wales,Mr David Chadwick MP
Wendy Chamberlain,Commons,Liberal Democrat,North East Fife,S14000100,Liberal Democrat Chief Whip,https://members.parliament.uk/member/4765/contact,Scotland,Ms Wendy Chamberlain MP
Danny Chambers,Commons,Liberal Democrat,Winchester,E14001587,Liberal Democrat Spokesperson (Mental Health),https://members.parliament.uk/member/5304/contact,England,Dr Danny Chambers MP
Chris Coghlan,Commons,Liberal Democrat,Dorking and Horley,E14001201,,https://members.parliament.uk/member/5198/contact,England,Mr Chris Coghlan MP
Victoria Collins,Commons,Liberal Democrat,Harpenden and Berkhamsted,E14001268,"Liberal Democrat Spokesperson (Science, Innovation & Technology)",https://members.parliament.uk/member/5201/contact,England,Ms Victoria Collins MP
Daisy Cooper,Commons,Liberal Democrat,St Albans,E14001507,Liberal Democrat Spokesperson (Treasury),https://members.parliament.uk/member/4769/contact,England,Ms Daisy Cooper MP
Adam Dance,Commons,Liberal Democrat,Yeovil,E14001603,,https://members.parliament.uk/member/5191/contact,England,Mr Adam Dance MP
Steve Darling,Commons,Liberal Democrat,Torbay,E14001551,Liberal Democrat Spokesperson (Work and Pensions),https://members.parliament.uk/member/5066/contact,England,Mr Steve Darling MP
Ed Davey,Commons,Liberal Democrat,Kingston and Surbiton,E14001312,,https://members.parliament.uk/member/188/contact,England,The Rt Hon Sir Ed Davey MP
Bobby Dean,Commons,Liberal Democrat,Carshalton and Wallington,E14001153,,https://members.parliament.uk/member/5083/contact,England,Mr Bobby Dean MP
Lee Dillon,Commons,Liberal Democrat,Newbury,E14001376,,https://members.parliament.uk/member/5310/contact,England,Mr Lee Dillon MP
Sarah Dyke,Commons,Liberal Democrat,Glastonbury and Somerton,E14001247,,https://members.parliament.uk/member/4995/contact,England,Ms Sarah Dyke MP
Tim Farron,Commons,Liberal Democrat,Westmorland and Lonsdale,E14001580,"Liberal Democrat Spokesperson (Environment, Food and Rural Affairs)",https://members.parliament.uk/member/1591/contact,England,Mr Tim Farron MP
Richard Foord,Commons,Liberal Democrat,Honiton and Sidmouth,E14001291,,https://members.parliament.uk/member/4942/contact,England,Mr Richard Foord MP
Will Forster,Commons,Liberal Democrat,Woking,E14001592,,https://members.parliament.uk/member/5322/contact,England,Mr Will Forster MP
Zöe Franklin,Commons,Liberal Democrat,Guildford,E14001258,,https://members.parliament.uk/member/5313/contact,England,Ms Zöe Franklin MP
Andrew George,Commons,Liberal Democrat,St Ives,E14001511,,https://members.parliament.uk/member/227/contact,England,Mr Andrew George MP
Sarah Gibson,Commons,Liberal Democrat,Chippenham,E14001168,Liberal Democrat Spokesperson (Business),https://members.parliament.uk/member/5239/contact,England,Ms Sarah Gibson MP
Rachel Gilmour,Commons,Liberal Democrat,Tiverton and Minehead,E14001548,,https://members.parliament.uk/member/5252/contact,England,Ms Rachel Gilmour MP
Olly Glover,Commons,Liberal Democrat,Didcot and Wantage,E14001197,,https://members.parliament.uk/member/5318/contact,England,Mr Olly Glover MP
Marie Goldman,Commons,Liberal Democrat,Chelmsford,E14001159,Liberal Democrat Shadow Leader of the House of Commons,https://members.parliament.uk/member/5073/contact,England,Ms Marie Goldman MP
Tom Gordon,Commons,Liberal Democrat,Harrogate and Knaresborough,E14001269,,https://members.parliament.uk/member/5032/contact,England,Mr Tom Gordon MP
Sarah Green,Commons,Liberal Democrat,Chesham and Amersham,E14001162,,https://members.parliament.uk/member/4918/contact,England,Ms Sarah Green MP
Monica Harding,Commons,Liberal Democrat,Esher and Walton,E14001230,Liberal Democrat Spokesperson (International Development),https://members.parliament.uk/member/5299/contact,England,Ms Monica Harding MP
Pippa Heylings,Commons,Liberal Democrat,South Cambridgeshire,E14001481,Liberal Democrat Spokesperson (Energy Security and Net Zero),https://members.parliament.uk/member/5078/contact,England,Ms Pippa Heylings MP
Wera Hobhouse,Commons,Liberal Democrat,Bath,E14001080,,https://members.parliament.uk/member/4602/contact,England,Ms Wera Hobhouse MP
